con_id,con_abbr,con_name,CCF_classification,CCF_category,CORE_classification
42E401CE,PSD,Privacy in Statistical Databases,X,X,C
43520230,CSCWD,Computer Supported Cooperative Work in Design,X,X,B
436976F3,KDD,Knowledge Discovery and Data Mining,A,5.0,A*
43A56762,NOSSDAV,Network and Operating System Support for Digital Audio and Video,B,2.0,A
43B93A74,GRAPP,International Conference on Computer Graphics Theory and Applications,X,X,B
43E7F2AC,ICIAP,International Conference on Image Analysis and Processing,X,X,B
4404AE79,COORDINATION,International Conference on Coordination Models and Languages,X,X,A
44C0EC29,ICTAI,International Conference on Tools with Artificial Intelligence,C,8.0,B
44F29802,WEBIST,International Conference on Web Information Systems and Technologies,X,X,C
450EACAF,ICSOC,International Conference on Service Oriented Computing,B,4.0,A
451FA97C,EUC,Embedded and Ubiquitous Computing,X,X,C
452ACCB8,IM,Integrated Network Management,C,2.0,A
457D53D9,WG,Workshop on Graph-Theoretic Concepts in Computer Science,X,X,A
45BF6EA0,ICCE,International Conference on Computers in Education,X,X,B
470B5A7A,GD,Graph Drawing,X,X,A
470EFF91,VEE,Virtual Execution Environments,B,1.0,A
42C509C4,RTA,Rewriting Techniques and Applications,C,6.0,A
441038DB,PASTE,Workshop on Program Analysis For Software Tools and Engineering,C,4.0,B
44ABD1BA,WoWMoM,"World of Wireless, Mobile and Multimedia Networks",C,2.0,A
44ADC1F4,BPM,Business Process Management,X,X,A
44E1A46F,CIG,Computational Intelligence and Games,X,X,C
450560B3,APGV,Applied Perception in Graphics and Visualization,X,X,C
450B3A86,NSDI,Networked Systems Design and Implementation,B,2.0,B
4558D729,CHI,Human Factors in Computing Systems,A,9.0,A*
4619EDE8,INDOCRYPT,International Conference on Cryptology in India,X,X,B
462BF9E1,INTERSPEECH,Conference of the International Speech Communication Association,X,X,A
4647C10B,ECAL,European Conference on Artificial Life,X,X,B
4694B652,PODS,Symposium on Principles of Database Systems,B,5.0,A*
4799F7D8,CTW,Cologne Twente Workshop on Graphs and Combinatorial Optimization,X,X,C
479E6080,CIDR,Conference on Innovative Data Systems Research,B,5.0,A
47A132CF,AIS,Autonomous and Intelligent Systems,X,X,C
47AF8B65,ECCB,European Conference on Computational Biology,X,X,B
430F1CC9,ICFCA,International Conference on Formal Concept Analysis,X,X,C
43AA5802,MM,ACM Multimedia,A,7.0,A*
43F65246,ICIS,International Conference on Information Systems,X,X,C
451788DE,CloudCom,Cloud Computing,X,X,C
455FBCE1,ICRA,International Conference on Robotics and Automation,B,8.0,B
45A86DF6,ICCBR,International Conference on Case-Based Reasoning,B,8.0,C
45D7DDA8,ICISC,International Conference on Information Security and Cryptology,X,X,B
4764A635,INAP,International Conference on Applications of Declarative Programming and Knowledge Management,X,X,C
47C39427,IJCAI,International Joint Conference on Artificial Intelligence,A,8.0,A*
4306EF42,RTSS,Real-Time Systems Symposium,A,10.0,A*
439E92D8,DAIS,Distributed Applications and Interoperable Systems,X,X,B
4457BAFF,FoSSaCS,Foundations of Software Science and Computation Structure,X,X,A
449D545A,ICAC,International Conference on Autonomic Computing,X,X,B
44D3E57F,ASAP,"Application-Specific Systems, Architectures, and Processors",C,1.0,A
45577A03,ICAPS,International Conference on Automated Planning and Scheduling,B,8.0,A*
45C028EA,IUI,Intelligent User Interfaces,B,9.0,A
45C4CD5D,SERA,Software Engineering Research and Applications,X,X,C
4617B656,CRITIS,Critical Information Infrastructures Security,X,X,C
47391705,MATES,Multiagent System Technologies,X,X,A
47B8452D,WISTP,Workshop in Information Security Theory and Practice,X,X,C
43123418,CIMCA,"Computational Intelligence for Modelling, Control and Automation",X,X,C
436F501E,FUN,Fun with Algorithms,X,X,B
439E9A1C,DGCI,Discrete Geometry for Computer Imagery,X,X,C
44195980,ATMOS,"Algorithmic Approaches for Transportation Modeling, Optimization, and Systems",X,X,C
44E34C11,KSEM,"Knowledge Science, Engineering and Management",C,8.0,B
4516081A,TACAS,Tools and Algorithms for Construction and Analysis of Systems,X,X,A
451FE2E9,ICMR,International Conference on Multimedia Retrieval,B,7.0,B
457D0954,IDEAS,International Database Engineering and Applications Symposium,X,X,B
45AEE573,SCAM,Source Code Analysis and Manipulation,C,4.0,C
45BA0A3D,ICHIT,International Conference on Hybrid Information Technology,X,X,C
467A131E,TASE,Theoretical Aspects of Software Engineering,C,4.0,C
46DE2D44,RECOMB,Research in Computational Molecular Biology,B,10.0,B
472B124E,AOSD,Aspect-Oriented Software Development,X,X,A
43247716,HOTI,High Performance Interconnects,X,X,B
43555C32,CGO,Symposium on Code Generation and Optimization,B,1.0,A
4372E602,DISC,International Symposium on Distributed Computing,X,X,A
4373F5A0,LCTES,"Languages, Compilers, and Tools for Embedded Systems",B,4.0,A
43CD997E,HEALTHINF,International Conference on Health Informatics,X,X,C
44135ABE,CHINZ,New Zealand Chapter's International Conference on Computer-Human Interaction,X,X,C
442BD7CD,INFOCOM,International Conference on Computer Communications,A,2.0,A*
44E5A1B2,ICPP,International Conference on Parallel Processing,B,1.0,A
45302733,GrC,Granular Computing,X,X,C
453C1DA9,SAMT,Semantics and Digital Media Technologies,X,X,C
45913BE9,AMTA,Conference of the Association for Machine Translation in the Americas,X,X,B
45A2F31B,ACSD,International Conference on Application of Concurrency to System Design,X,X,B
4600D055,ISPEC,Information Security Practice and Experience,X,X,B
4626185F,QoSA,Quality of Software Architectures,X,X,B
463BE6FF,DATE,"Design, Automation, and Test in Europe",B,1.0,B
4677A3BB,MCU,"Machines, Computations, and Universality",X,X,B
478C2CAA,SECRYPT,International Conference on Security and Cryptography,X,X,B
47A823DD,ICWS,International Conference on Web Services,B,4.0,A
43987AC1,AVI,Advanced Visual Interfaces,C,9.0,B
45277557,ISCC,International Symposium on Computers and Communications,C,2.0,B
45F282AE,WAIM,Web-Age Information Management,C,5.0,C
46598106,IWCIA,International Workshop on Combinatorial Image Analysis,X,X,C
466431A5,SAINT,Symposium on Applications and the Internet,X,X,C
475F4819,WITS,Workshop on Information Technologies and Systems,X,X,C
47838997,IRFC,Information Retrieval Facility Conference,X,X,Unranked
430E4089,WAOA,Workshop on Approximation and Online Algorithms,X,X,B
4342BD78,ISSA,Information Security for South Africa,X,X,C
43A3BF50,ICIDS,International Conference on Interactive Digital Storytelling,X,X,C
442743F7,COCOA,Conference on Combinatorial Optimization and Applications,X,X,B
451C6EC3,FOGA,Foundations of Genetic Algorithms,X,X,A*
